選手名,年齢,級班,府県,ホーム,期別,タイプ１,タイプ２,先行意欲,番手経験,先頭を残す動きは？,飛び付き可能性,並走可能性,横の動きへの対応（横をする・横をされた時への対応力）,スピード（縦脚含む）,仕掛け,スタミナ,スタート・位置取り評価,単騎での動き,競輪IQ（ラインの意識）,暴走の有無（斜行や激しい横の動きなど）,相性◯バンク,相性✕バンク,不得意季節,コメント
坂田 章,40,A級1班,高知,高知,93期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
篠原 龍馬,44,A級1班,高知,高知,89期,自在,,△,◯,△,△,△,◯,△,◯,△,◯,△,◯,✕,,,,
宗崎 世連,34,A級1班,高知,高知,100期,自在,,△,◯,△,△,△,△,◯,◯,△,△,◯,◯,✕,,,,
谷口 幸司,32,A級1班,高知,高知,111期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
都築 巧,25,A級1班,高知,高知,123期,自在,,△,◯,△,◯,◯,△,△,△,△,△,△,◯,✕,,,,
野本 翔太,41,A級1班,高知,高知,91期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
林 明宏,49,A級1班,高知,高知,79期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
藤原 浩,46,A級1班,高知,高知,87期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
森岡 正臣,50,A級1班,高知,高知,75期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
吉松 直人,44,A級1班,高知,高知,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
板崎 佑矢,37,A級1班,愛媛,松山,101期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
上田 学,54,A級1班,愛媛,松山,69期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
宇根 秀俊,48,A級1班,愛媛,松山,80期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
大崎 飛雄馬,47,A級1班,愛媛,松山,88期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
岡崎 陸登,28,A級1班,愛媛,松山,123期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
岡田 啓渡,34,A級1班,愛媛,松山,100期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
越智 展孝,44,A級1班,愛媛,松山,88期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
門田 凌,31,A級1班,愛媛,松山,111期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
塩崎 隼秀,24,A級1班,愛媛,松山,121期,自在,,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,冬苦手,
高市 訓但,37,A級1班,愛媛,松山,97期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
溪 飛雄馬,46,A級1班,愛媛,松山,86期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
野村 典嗣,35,A級1班,愛媛,松山,109期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
林 昌幸,22,A級1班,愛媛,松山,119期,自在,,◯,◯,✕,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,F１選手。逃げれば強いしスピードもありいい選手だがグレードでは厳しさがありそう。
火島 裕輝,22,A級1班,愛媛,松山,123期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
日野 博幸,41,A級1班,愛媛,松山,103期,先行,捲,△,◯,△,△,△,△,△,△,△,◯,△,◯,✕,,,,
横内 裕人,33,A級1班,愛媛,松山,100期,自在,,✕,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
浅見 隼,28,A級1班,福岡,小倉,115期,自在,,✕,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
上野 恭哉,27,A級1班,福岡,久留米,119期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
内山 拓,42,A級1班,福岡,小倉,88期,追い込み,,✕,◯,△,△,△,△,△,✕,△,◯,△,◯,✕,,,,
小川 賢人,40,A級1班,福岡,久留米,103期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小竹 洋平,36,A級1班,福岡,久留米,97期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
櫻木 雄太,25,A級1班,福岡,久留米,123期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
佐藤 健太,37,A級1班,福岡,久留米,101期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
紫原 政文,57,A級1班,福岡,久留米,61期,追い込み,,✕,◯,◯,△,△,△,△,✕,△,△,△,◯,✕,,,,
島村 匠,28,A級1班,福岡,久留米,111期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
神開 一輝,32,A級1班,福岡,久留米,119期,先行,捲,◯,◯,△,△,△,△,△,◯,△,△,△,◯,✕,,,,
高比良 豪,45,A級1班,福岡,久留米,84期,追い込み,,✕,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
立石 拓也,51,A級1班,福岡,久留米,72期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
鶴 良生,30,A級1班,福岡,久留米,111期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
中川 聖大,27,A級1班,福岡,小倉,121期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
中村 良二,50,A級1班,福岡,久留米,81期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
名川 豊,35,A級1班,福岡,小倉,99期,追い込み,,✕,◯,◯,△,△,◯,◯,◯,△,△,△,◯,✕,,,,
西田 大志,34,A級1班,福岡,久留米,98期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
橋本 陸,28,A級1班,福岡,久留米,121期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
八谷 誠賢,50,A級1班,福岡,小倉,77期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
林 昴,24,A級1班,福岡,小倉,119期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
原井 剣也,31,A級1班,福岡,久留米,119期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
堀越 翔己,27,A級1班,福岡,小倉,123期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,◯,△,◯,✕,,,,
八尋 英輔,45,A級1班,福岡,小倉,89期,追い込み,,✕,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
山本 浩成,27,A級1班,福岡,小倉,119期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,基本的には逃げない。面白いのは雨の日の勝率が以上に高い。
池田 浩士,47,A級1班,佐賀,武雄,86期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
一ノ瀬 匠,37,A級1班,佐賀,武雄,92期,先行,捲,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
金ヶ江 勇気,29,A級1班,佐賀,武雄,111期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
坂本 晃輝,46,A級1班,佐賀,武雄,81期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
古川 貴之,41,A級1班,佐賀,武雄,93期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
松尾 玄太,40,A級1班,佐賀,武雄,93期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
好永 晃,34,A級1班,佐賀,武雄,98期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
小柳 智徳,27,A級1班,長崎,佐世保,123期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
峯口 司,22,A級1班,長崎,佐世保,123期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
山口 龍也,30,A級1班,長崎,佐世保,111期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
安東 英博,45,A級1班,大分,別府,87期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,大分支部支部長
池部 壮太,32,A級1班,大分,別府,109期,先行,捲,◯,◯,△,△,△,△,△,◯,△,◯,△,◯,✕,,,,
魚屋 周成,35,A級1班,大分,別府,99期,先行,捲,◯,◯,△,△,△,△,△,◯,△,△,△,◯,✕,,,,
梶原 恵介,43,A級1班,大分,別府,92期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
萱島 大介,45,A級1班,大分,別府,99期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
小原 将通,38,A級1班,大分,別府,92期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
小原 亮哉,35,A級1班,大分,別府,113期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
高橋 綜一郎,29,A級1班,大分,別府,119期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
高橋 優斗,28,A級1班,大分,別府,121期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
利根 正明,36,A級1班,大分,別府,97期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,◯,△,◯,✕,,,,
長松 空吾,25,A級1班,大分,別府,123期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
長松 大祐,27,A級1班,大分,別府,121期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
成海 大聖,26,A級1班,大分,別府,123期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
太田黒 大心,51,A級1班,熊本,,74期,追い込み,,✕,◯,△,△,△,◯,△,△,△,△,△,◯,✕,,,,
曽我 圭佑,31,A級1班,熊本,熊本,113期,先行,捲,✕,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
高木 竜司,49,A級1班,熊本,熊本,82期,追い込み,,✕,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
田川 翔琉,27,A級1班,熊本,熊本,119期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
寺崎 祐樹,38,A級1班,熊本,熊本,97期,追い込み,,✕,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
徳永 泰粋,22,A級1班,熊本,熊本,123期,先行,捲,◯,◯,△,△,△,△,△,◯,△,◯,△,◯,✕,,,,
中村 雅仁,43,A級1班,熊本,熊本,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
中山 遼太郎,22,A級1班,熊本,熊本,121期,先行,捲,△,◯,△,△,△,△,△,◯,△,△,△,◯,✕,,,,
野口 大誠,36,A級1班,熊本,熊本,105期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
半田 誠,21,A級1班,熊本,熊本,123期,先行,,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,先行がメインだが状況においてはかましや捲りもあるので先輩が付いていても読めない部分はある。全体的に力不足感は否めないので買いにくさはある。
松岡 孝高,40,A級1班,熊本,熊本,98期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
松本 憲斗,28,A級1班,熊本,熊本,119期,追い込み,,✕,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
森山 智徳,41,A級1班,熊本,熊本,98期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
石川 航大,26,A級1班,宮崎,,123期,先行,,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,先行がメインだが状況においてはかましや捲りもあるので先輩が付いていても読めない部分はある。全体的に力不足感は否めないので買いにくさはある。
枝村 弘樹,26,A級1班,宮崎,,123期,先行,捲,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
下沖 功児,42,A級1班,宮崎,,95期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
田中 洋輔,45,A級1班,宮崎,,84期,追い込み,,✕,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
福田 要,26,A級1班,宮崎,,121期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
上吹越 俊一,48,A級1班,鹿児島,,99期,自在,,✕,◯,◯,△,△,△,◯,◯,△,△,△,◯,✕,,,,
茅野 寛史,46,A級1班,鹿児島,,99期,追い込み,,✕,◯,△,△,△,△,△,✕,△,◯,◯,◯,✕,,,,
川又 裕樹,39,A級1班,鹿児島,,97期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
前田 義和,41,A級1班,鹿児島,,94期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
明田 春喜,44,A級2班,北海道,函館,89期,追い込み,,✕,◯,◯,△,✕,◯,△,✕,△,△,△,◯,✕,,,,
大森 光明,26,A級2班,北海道,函館,117期,自在,,△,◯,◯,✕,✕,◯,△,△,△,△,△,◯,✕,,,,
荻原 寿嗣,31,A級2班,北海道,函館,119期,先行,捲,◯,◯,△,◯,◯,◯,△,◯,△,△,△,◯,✕,,,,
竹内 優也,45,A級2班,北海道,函館,89期,自在,,△,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
外崎 一成,38,A級2班,北海道,函館,94期,追い込み,,✕,◯,◯,△,✕,◯,△,✕,△,△,△,◯,✕,,,,
中里 福太郎,30,A級2班,北海道,函館,113期,先行,捲,◯,◯,△,△,✕,△,△,◯,△,◯,△,◯,✕,,,,
松澤 敬輔,38,A級2班,北海道,函館,97期,自在,,△,◯,◯,△,✕,◯,△,✕,△,△,△,◯,✕,,,,
山口 慎吾,42,A級2班,北海道,函館,93期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
大崎 智久,43,A級2班,青森,青森,89期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
小田 恭介,25,A級2班,青森,,125期,先行,捲,◯,✕,,✕,✕,△,◯,◯,△,◯,△,◯,✕,,,,
齊藤 英伊須,21,A級2班,青森,,125期,先行,捲,◯,◯,△,◯,◯,△,◯,◯,△,△,△,◯,✕,,,,
齊藤 紳一朗,48,A級2班,青森,,82期,追い込み,,✕,◯,,,,,,,,,,,✕,,,,
坂本 昌宏,41,A級2班,青森,,91期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
佐々木 健司,51,A級2班,青森,青森,76期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
佐々木 孝司,46,A級2班,青森,青森,84期,先行,捲,△,◯,△,✕,✕,△,△,◯,△,△,△,◯,✕,,,,
佐藤 啓斗,29,A級2班,青森,,119期,先行,捲,◯,◯,△,✕,✕,△,△,◯,△,△,△,◯,✕,,,,
高谷 敏史,40,A級2班,青森,青森,91期,自在,,△,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
日当 泰之,37,A級2班,青森,青森,92期,自在,,△,◯,△,◯,◯,◯,△,△,△,△,△,◯,✕,,,,
柳 充,51,A級2班,青森,青森,79期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
及川 裕奨,44,A級2班,岩手,,86期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
坂本 毅,53,A級2班,岩手,,77期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
吉田 優斗,26,A級2班,岩手,,125期,先行,捲,◯,✕,,✕,✕,△,◯,◯,△,△,△,◯,✕,,,,
阿部 英光,43,A級2班,宮城,,89期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
阿部 宏之,49,A級2班,宮城,,82期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
井上 公利,44,A級2班,宮城,,93期,先行,捲,◯,◯,◯,◯,◯,△,△,◯,△,△,△,◯,✕,,,,
大泉 英則,44,A級2班,宮城,,89期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
大内 達也,53,A級2班,宮城,,72期,自在,,◯,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,宮城支部支部長
太田 将成,29,A級2班,宮城,,113期,先行,捲,◯,◯,◯,△,✕,◯,△,△,△,△,△,◯,✕,,,,
金子 兼久,48,A級2班,宮城,,81期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
鎌田 聡,47,A級2班,宮城,,81期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
亀井 宏佳,52,A級2班,宮城,,74期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
佐藤 正吾,42,A級2班,宮城,,88期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
菅田 和宏,43,A級2班,宮城,,88期,先行,捲,◯,◯,△,◯,◯,△,△,◯,△,△,△,◯,✕,,,,
菅田 謙仁,33,A級2班,宮城,,109期,自在,,◯,◯,△,◯,✕,△,△,△,△,◯,△,◯,✕,,,,
福田 健太,24,A級2班,宮城,,125期,先行,捲,◯,✕,,✕,✕,△,◯,◯,△,◯,△,◯,✕,,,,
三浦 大輝,27,A級2班,宮城,,111期,先行,捲,◯,◯,△,✕,✕,△,△,◯,△,△,△,◯,✕,,,,
門脇 翼,32,A級2班,秋田,,111期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
中込 健太,29,A級2班,秋田,,119期,先行,捲,◯,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
引地 正人,45,A級2班,秋田,,87期,先行,捲,◯,◯,◯,△,✕,◯,△,✕,△,△,△,◯,✕,,,,
相笠 翔太,35,A級2班,福島,,96期,自在,,△,◯,△,△,✕,△,◯,✕,△,△,△,◯,✕,,,,
石川 恭規,47,A級2班,福島,いわき平,93期,追い込み,,✕,◯,△,△,✕,△,△,△,△,◯,△,◯,✕,,,,
宇佐見 裕輝,40,A級2班,福島,いわき平,94期,自在,,△,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
小谷田 公則,44,A級2班,福島,,88期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
十文字 菊雄,54,A級2班,福島,,75期,追い込み,,✕,◯,△,✕,✕,◯,◯,◯,△,△,△,◯,✕,,,,
鈴木 達也,40,A級2班,福島,いわき平,97期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
鈴木 誠,48,A級2班,福島,いわき平,84期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,◯,△,◯,✕,,,,
須永 勝太,34,A級2班,福島,いわき平,98期,自在,,◯,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
角田 光,26,A級2班,福島,,125期,先行,捲,◯,✕,✕,✕,✕,△,◯,◯,△,◯,△,◯,✕,,,,
中村 龍吉,25,A級2班,福島,,125期,先行,捲,◯,✕,✕,✕,✕,△,◯,◯,△,◯,△,◯,✕,,,,
平沼 由充,49,A級2班,福島,いわき平,83期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,◯,△,◯,✕,,,,
平根 優大,22,A級2班,福島,いわき平,125期,先行,捲,◯,◯,△,△,✕,△,△,◯,△,◯,△,◯,✕,,,,
平山 優太,25,A級2班,福島,いわき平,119期,自在,,◯,◯,△,△,✕,△,△,◯,△,◯,△,◯,✕,,,,
本馬 鎌,31,A級2班,福島,いわき平,109期,自在,,△,◯,,✕,✕,△,△,△,△,△,△,◯,✕,,,,
三澤 優樹,26,A級2班,福島,,127期,先行,捲,△,✕,,✕,◯,△,△,△,◯,△,△,◯,✕,,,,特にダッシュ型ではないオールラウンダーらしい組み立て。こんもんかな？特に不安もなければ感動もない。ザ・普通					
緑川 修平,42,A級2班,福島,,95期,自在,,△,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
山口 茂,46,A級2班,福島,いわき平,98期,追い込み,,✕,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
山田 祐太,37,A級2班,福島,いわき平,113期,先行,捲,◯,◯,△,✕,✕,△,◯,◯,△,△,△,◯,✕,,,,
伊早坂 駿一,31,A級2班,茨城,取手,105期,先行,捲,△,◯,△,◯,✕,△,△,△,△,△,△,◯,✕,,,,
岩崎 大和,41,A級2班,茨城,取手,94期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
木村 貴宏,48,A級2班,茨城,取手,80期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,◯,△,◯,✕,,,,
黒滝 大翔,30,A級2班,茨城,取手,117期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
小室 貴広,51,A級2班,茨城,取手,75期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
須賀 和彦,40,A級2班,茨城,取手,89期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
武田 靖夫,52,A級2班,茨城,取手,76期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
舘 真成,38,A級2班,茨城,取手,98期,自在,,◯,◯,△,△,✕,△,△,◯,△,◯,△,◯,✕,,,,
土屋 仁,50,A級2班,茨城,取手,84期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,◯,△,◯,✕,,,,
橋本 紀彰,45,A級2班,茨城,取手,90期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
藤田 祐大,21,A級2班,茨城,取手,125期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
堀 政美,56,A級2班,茨城,取手,65期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
松田 昂己,24,A級2班,茨城,取手,123期,先行,捲,◯,◯,△,△,△,△,△,◯,△,△,△,◯,✕,,,,
松田 優一,40,A級2班,茨城,取手,90期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
山崎 悟,41,A級2班,茨城,取手,92期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
吉田 元輝,39,A級2班,茨城,取手,100期,自在,,◯,◯,△,◯,◯,△,△,◯,△,◯,△,◯,✕,,,,
宇賀神 浩幸,51,A級2班,栃木,宇都宮,73期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
大越 啓介,36,A級2班,栃木,宇都宮,97期,追い込み,,✕,◯,△,△,✕,△,△,◯,△,△,△,◯,✕,,,,
岡部 陸斗,23,A級2班,栃木,宇都宮,125期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
貝原 涼太,28,A級2班,栃木,宇都宮,125期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
黒崎 直行,59,A級2班,栃木,宇都宮,57期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
黒田 篤,46,A級2班,栃木,宇都宮,88期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
小坂 敏之,53,A級2班,栃木,宇都宮,74期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
佐藤 悦夫,46,A級2班,栃木,宇都宮,86期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
佐藤 謙,40,A級2班,栃木,宇都宮,90期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
篠崎 高志,53,A級2班,栃木,宇都宮,72期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
鈴木 宏章,50,A級2班,栃木,宇都宮,80期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
関 敬,49,A級2班,栃木,宇都宮,81期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
宗景 祐樹,49,A級2班,栃木,宇都宮,84期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
村上 貴彦,39,A級2班,栃木,宇都宮,100期,自在,,✕,◯,△,△,✕,△,△,△,△,△,◯,◯,✕,,,,
山口 貴弘,47,A級2班,栃木,宇都宮,84期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
渡邉 高志,48,A級2班,栃木,宇都宮,84期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
渡邊 恭典,51,A級2班,栃木,宇都宮,75期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
梅山 英樹,53,A級2班,群馬,前橋,72期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
甲斐 康昭,41,A級2班,群馬,前橋,89期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,群馬支部支部長
亀井 雅斗,49,A級2班,群馬,前橋,75期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
北村 貴幸,54,A級2班,群馬,前橋,71期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
小林 和彦,49,A級2班,群馬,前橋,82期,自在,,✕,◯,△,△,✕,△,△,△,△,◯,△,◯,✕,,,,
櫻井 紀幸,54,A級2班,群馬,前橋,68期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
瀧野 勝太,38,A級2班,群馬,前橋,92期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
田村 真広,50,A級2班,群馬,前橋,83期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
土屋 宏,48,A級2班,群馬,前橋,83期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
手島 志誠,47,A級2班,群馬,前橋,83期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
豊田 一馬,51,A級2班,群馬,前橋,73期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
中川 拓也,39,A級2班,群馬,前橋,94期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
矢内 良和,50,A級2班,群馬,前橋,75期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
山田 武,48,A級2班,群馬,前橋,87期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
若林 耕司,45,A級2班,群馬,前橋,87期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
天沼 雅貴,41,A級2班,埼玉,大宮,96期,追い込み,,✕,◯,△,△,✕,△,△,△,△,◯,△,◯,✕,,,,
井上 雄三,42,A級2班,埼玉,大宮,88期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
今井 希,24,A級2班,埼玉,大宮,125期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
